State,Status,Year,Percentage,,,,,,,
Northern Territory,Less often than monthly,2019,14.0,,,,,,,
Northern Territory,Ex-drinker,2007,8.0,,,,,,,
Northern Territory,Ex-drinker,2010,5.7,,,,,,,
Northern Territory,Ex-drinker,2013,7.5,,,,,,,
Northern Territory,Ex-drinker,2016,8.7,,,,,,,
Northern Territory,Ex-drinker,2019,8.8,,,,,,,
Northern Territory,Never a full glass,2007,6.4,,,,,,,
Northern Territory,Never a full glass,2010,8.1,,,,,,,
Northern Territory,Never a full glass,2013,8.2,,,,,,,
Northern Territory,Never a full glass,2016,14.4,,,,,,,
Northern Territory,Never a full glass,2019,12.7,,,,,,,
Australian Capital Territory,Daily,2007,6.8,,,,,,,
Australian Capital Territory,Daily,2010,5.5,,,,,,,
Australian Capital Territory,Daily,2013,6.7,,,,,,,
Australian Capital Territory,Daily,2016,3.7,,,,,,,
Australian Capital Territory,Daily,2019,4.4,,,,,,,
Australian Capital Territory,Weekly,2007,48.3,,,,,,,
Australian Capital Territory,Weekly,2010,46.1,,,,,,,
Australian Capital Territory,Weekly,2013,44.4,,,,,,,
Australian Capital Territory,Weekly,2016,40.8,,,,,,,
Australian Capital Territory,Weekly,2019,38.2,,,,,,,
Australian Capital Territory,Monthly,2007,20.2,,,,,,,
Australian Capital Territory,Monthly,2010,21.4,,,,,,,
Australian Capital Territory,Monthly,2013,19.9,,,,,,,
Australian Capital Territory,Monthly,2016,19.2,,,,,,,
Australian Capital Territory,Monthly,2019,22.6,,,,,,,
Australian Capital Territory,Less often than monthly,2007,13.1,,,,,,,
Australian Capital Territory,Less often than monthly,2010,13.6,,,,,,,
Australian Capital Territory,Less often than monthly,2013,12.7,,,,,,,
Australian Capital Territory,Less often than monthly,2016,16.5,,,,,,,
Australian Capital Territory,Less often than monthly,2019,14.9,,,,,,,
Australian Capital Territory,Ex-drinker,2007,4.5,,,,,,,
Australian Capital Territory,Ex-drinker,2010,4.9,,,,,,,
Australian Capital Territory,Ex-drinker,2013,4.5,,,,,,,
Australian Capital Territory,Ex-drinker,2016,8.0,,,,,,,
Australian Capital Territory,Ex-drinker,2019,8.2,,,,,,,
Australian Capital Territory,Never a full glass,2007,7.0,,,,,,,
Australian Capital Territory,Never a full glass,2010,8.5,,,,,,,
Australian Capital Territory,Never a full glass,2013,11.8,,,,,,,
Australian Capital Territory,Never a full glass,2016,11.8,,,,,,,
Australian Capital Territory,Never a full glass,2019,11.7,,,,,,,
